,1,2,3,4,5
0,#NewYearsDay,Welcome to 2020,Pope,#RoseBowl,#CitrusBowl
1,New Guy,#ThursdayThoughts,#worldintrovertday,Opie,Anna Mae
2,#wwlll,#TrumpsWar,#WWIII,Rose McGowan,Soleimani
3,Meat Loaf,#ww3memes,#njwk14,Tucker Carlson,#SaturdayThoughts
4,#IfTheWorldHadNoMen,#BTSxGDA,Happy Founders,#PowerTV,#GoldenGlobes
5,George Lopez,#ARMYSelcaDay,#RuinAMovieWithOneWord,Bolton,#TheBachelor
6,#TuesdayThoughts,Nikki Haley,#7isComing,#WithMyNextPaycheckIWill,Meghan McCain
7,#WednesdayWisdom,#IvotedforHillaryClinton,#iHeartAwards,#IranVSAmerica,Jillian Michaels
8,Boosie,#SniffyMcAdderall,#LawEnforcementAppreciationDay,#ThursdayThoughts,Happy Founders
9,#IAmNonbinary,Life is Good,#FridayFeeling,Sum 2 Prove,#RareOutNow
10,#Deku,#WorstThingToYellOutBeforeSex,#justinbieberisoverparty,#WitnessesAndDocuments,#SaturdayMorning
11,#PowerSeason6,Tkachuk,#IDidntKnowMyKinkWas,Kassian,#kissagingerday
12,#OscarNoms,#ITrustBernie,Chen,Jongdae,Astros
13,Vince Vaughn,#TuesdayThoughts,#PortfolioDay,#RefundWarren,#DemDebate
14,Aaron Hernandez,#WednesdayWisdom,#NeverWarren,#CNNisTrash,Drew Pearson
15,#SeduceSomeoneInFourWords,#AppreciateADragonDay,Byleth,Altuve,McSally
16,Eminem,#AFallFromGrace,Ken Starr,#FridayFeeling,Kamikaze
17,National Archives,Incredible Hulk,#WinnieThePoohDay,Aaron Carter,#WorstThingsToYellOutAfterSex
18,Tariq,#PowerTV,#SundayThoughts,#DisgustMeIn4Words,#DumbThingsIDidInHighSchool
19,Revis,#MLKDay,#IEndorseBernie,#VirginiaRally,Happy MLK
20,#ILikeBernie,#TuesdayThoughts,#GOPCoverup,Jeter,#PastimesFromThe90s
21,#WednesdayWisdom,Fairway,Mr. Peanut,Terry Jones,#AdamSchiffROCKS
22,#ThursdayThoughts,#NationalPieDay,#DoomsdayClock,Monster House,Church of England
23,Joe Rogan,B.I.T.C.H,#dollypartonchallenge,#TheSexiestThingYouCanSay,#NationalComplimentDay
24,#AmericansWantWitnesses,#IGotKickedOutOfSpaceForce,Bangladesh,#PompeoMeltdown,#CoronaOutbreak
25,#SundayThoughts,Born Sinner,#WhiteMaleRage,Paula White,Kobe
26,#ILeftTheGOP,#KobeRIP,#iHeartBTS,Bolton,Letter to Nipsey
27,#girldad,Don Lemon,#TuesdayThoughts,#AddAWordRuinABook,Palestinians
